Date,Time,Temperature,Relative Temperature,Wind,Rel. Humidity
2014-01-01,0,1.0,1.0,0.0,48.0
2014-01-01,1,-1.0,-5.0,13.0,59.0
2014-01-01,2,-1.0,-3.0,6.0,59.0
2014-01-01,3,1.0,1.0,0.0,48.0
2014-01-01,4,-1.0,-1.0,0.0,64.0
2014-01-01,5,0.0,-2.0,6.0,64.0
2014-01-01,6,1.0,1.0,0.0,60.0
2014-01-01,7,1.0,1.0,0.0,56.0
2014-01-01,8,1.0,-1.0,7.0,56.0
2014-01-01,9,3.0,0.0,13.0,52.0
2014-01-01,10,4.0,0.0,17.0,56.0
2014-01-01,11,5.0,2.0,13.0,57.0
2014-01-01,12,7.0,4.0,15.0,49.0
2014-01-01,13,7.0,5.0,11.0,49.0
2014-01-01,14,9.0,7.0,13.0,43.0
2014-01-01,15,9.0,7.0,15.0,46.0
2014-01-01,16,7.0,7.0,0.0,53.0
2014-01-01,17,6.0,4.0,7.0,57.0
2014-01-01,18,6.0,5.0,6.0,57.0
2014-01-01,19,6.0,4.0,11.0,66.0
2014-01-01,20,6.0,5.0,6.0,66.0
2014-01-01,21,4.0,2.0,9.0,75.0
2014-01-01,22,4.0,4.0,0.0,75.0
2014-01-01,23,4.0,3.0,6.0,75.0
2014-01-02,0,4.0,4.0,0.0,70.0
2014-01-02,1,4.0,4.0,0.0,70.0
2014-01-02,2,3.0,3.0,0.0,70.0
2014-01-02,3,2.0,0.0,7.0,81.0
2014-01-02,4,2.0,0.0,7.0,81.0
2014-01-02,5,2.0,0.0,7.0,81.0
2014-01-02,6,1.0,-2.0,11.0,87.0
2014-01-02,7,1.0,-2.0,9.0,87.0
2014-01-02,8,2.0,-2.0,13.0,81.0
2014-01-02,9,2.0,-1.0,11.0,87.0
2014-01-02,10,2.0,-1.0,9.0,87.0
2014-01-02,11,3.0,-1.0,15.0,81.0
2014-01-02,12,3.0,0.0,11.0,81.0
2014-01-02,13,4.0,0.0,19.0,75.0
2014-01-02,14,4.0,1.0,11.0,75.0
2014-01-02,15,3.0,-1.0,17.0,81.0
2014-01-02,16,3.0,-1.0,15.0,81.0
2014-01-02,17,3.0,0.0,13.0,87.0
2014-01-02,18,2.0,-2.0,15.0,87.0
2014-01-02,19,1.0,-1.0,7.0,87.0
2014-01-02,20,1.0,-2.0,11.0,87.0
2014-01-02,21,1.0,-4.0,19.0,87.0
2014-01-02,22,1.0,-4.0,19.0,81.0
2014-01-02,23,1.0,-4.0,19.0,81.0
2014-01-03,0,1.0,-5.0,24.0,81.0
2014-01-03,1,-1.0,-7.0,24.0,80.0
2014-01-03,2,-2.0,-8.0,24.0,74.0
2014-01-03,3,-3.0,-12.0,50.0,74.0
2014-01-03,4,-6.0,-16.0,43.0,68.0
2014-01-03,5,-7.0,-17.0,41.0,63.0
2014-01-03,6,-7.0,-16.0,37.0,58.0
2014-01-03,7,-8.0,-17.0,30.0,62.0
2014-01-03,8,-7.0,-16.0,30.0,53.0
2014-01-03,9,-7.0,-17.0,41.0,49.0
2014-01-03,10,-7.0,-16.0,37.0,53.0
